Degree,Profession,Age,Gender,Leadership POS,Act Member POS,CGPA,Average Prof Grade,Average Elec Grade,OJT Grade,SS_1,SS_2,SS_3,SS_4,SS_5,SS_6,HS_1,HS_2,HS_3,HS_4,HS_5,HS_6,Soft Skills Ave,Hard Skills Ave,Database Management Skills,Java Programming Skills,Networking Skills,Python Programming Skills,System Design Skills,Web Development Skills,Cybersecurity Skills,Cloud Computing Skills,Data Structures & Algorithms,Machine Learning Skills,Programming Logic Skills,Software Engineering Skills,Artificial Intelligence Skills,Auditing Skills,Budgeting & Analysis Skills,Financial Accounting Skills,Taxation Skills,Risk Management Skills,Financial Management Skills,Leadership & Decision-Making Skills,Marketing Skills,Strategic Planning Skills,Consumer Behavior Analysis,Sales Management Skills,Innovation & Business Planning Skills,Food & Beverage Operations Skills,Front Office & Reservations Skills,Housekeeping Standards Skills,Events & Banquet Coordination Skills,Customer Experience & Guest Relations Skills,Clinical & Patient Care Skills,Pharmacology & Medication Skills,Community Health & Education Skills,Infection Control & Safety Skills,Nursing Assessment & Documentation Skills,Circuit Analysis & Electronics Skills,Embedded Systems Skills,Network & Telecom Skills,RF & Wireless Basics Skills,Technical Troubleshooting Skills,Classroom Management Skills,Curriculum Development Skills,Educational Technology Skills,Teaching Skills,English Communication & Writing Skills,Mathematics Instruction & Reasoning Skills,Filipino Communication & Writing Skills,Child Development & Learning Skills,Foundational Literacy & Numeracy Skills,Technical Knowledge in Degree
BSIT,Software Engineer,21,Female,Yes,Yes,1.52,83.4,92.4,90.9,73.26,53.14,55.37,60.38,73.67,72.2,80.06,79.55,69.68,70.72,64.74,85.43,64.67,75.03,79.25,93.8,69.83,65.78,64.03,79.38,60.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,IT Support Specialist,25,Male,No,Yes,3.15,87.3,89.7,95.4,74.27,83.02,72.78,77.36,53.65,60.2,65.13,57.79,63.15,58.54,64.73,77.25,70.22,64.43,68.22,68.37,91.71,65.48,84.23,76.14,75.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Network Administrator,23,Female,No,No,3.18,91.0,89.8,92.4,82.34,79.94,60.25,53.16,63.36,61.64,62.38,88.0,85.67,66.01,77.94,68.85,66.78,74.81,83.61,70.85,98.98,64.91,73.72,65.36,74.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Web Developer,26,Male,Yes,No,1.43,82.7,83.5,93.2,80.51,67.2,54.29,65.74,87.86,71.05,88.99,85.13,55.4,80.23,78.86,73.79,71.11,77.07,65.47,75.95,61.12,70.17,70.7,92.63,82.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Network Administrator,29,Male,No,Yes,1.55,92.7,89.6,97.9,71.09,52.02,63.67,52.7,85.45,83.63,84.11,65.76,57.03,85.73,88.14,58.0,68.09,73.13,71.61,59.94,92.65,79.44,61.59,71.31,73.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Web Developer,24,Male,No,No,3.19,91.1,88.1,88.9,56.36,60.09,64.17,73.18,60.28,59.93,57.48,77.09,63.01,86.69,85.09,57.48,62.33,71.14,64.66,76.73,64.0,61.7,84.19,97.85,71.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Web Developer,24,Male,Yes,No,1.94,87.8,94.1,82.1,75.52,75.26,54.18,78.22,80.82,55.93,61.71,73.77,59.91,61.42,71.19,85.61,69.99,68.93,60.11,80.62,81.97,60.74,76.26,90.93,58.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Network Administrator,23,Female,No,No,1.67,87.6,82.8,89.8,87.47,61.55,80.23,68.38,67.23,86.46,89.84,74.45,80.14,60.42,65.38,88.9,75.22,76.52,74.22,73.18,91.57,59.6,74.36,72.08,81.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Software Engineer,23,Male,Yes,Yes,2.04,95.2,90.0,90.2,53.43,54.95,75.67,72.35,63.39,61.39,78.44,66.0,64.3,59.58,77.59,71.0,63.53,69.48,84.01,95.06,58.26,75.39,73.76,60.8,73.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Network Administrator,26,Male,Yes,No,1.81,88.1,89.6,84.6,87.42,81.06,71.04,76.04,71.97,85.54,58.63,85.73,64.26,86.14,80.98,60.44,78.84,72.7,65.89,63.9,99.08,77.25,81.88,72.15,65.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
